fare_id,route_id
metro_flat,L1-metro
tram_flat,L1-tram
F30,ETUSA-3
F30,ETUSA-6
F30,ETUSA-10
F40,ETUSA-12
F30,ETUSA-14
F20,ETUSA-15
F20,ETUSA-16
F20,ETUSA-18
F30,ETUSA-19
F20,ETUSA-21
F20,ETUSA-27
F20,ETUSA-31
F30,ETUSA-34
F20,ETUSA-37
F30,ETUSA-45
F30,ETUSA-50
F20,ETUSA-54
F20,ETUSA-58
F30,ETUSA-66
F40,ETUSA-72
F30,ETUSA-74
F30,ETUSA-82
F20,ETUSA-88
F20,ETUSA-90
F40,ETUSA-98
F40,ETUSA-99
F50,ETUSA-100
F40,ETUSA-101
F20,ETUSA-105
F20,ETUSA-113
F50,ETUSA-178
F30,ETUSA-604
F20,ETUSA-606
F30,ETUSA-643
F40,ETUSA-701
F30,ETUSA-707
F40,ETUSA-731
F50,ETUSA-732
