trip_id,start_time,end_time,headway_secs,exact_times
metro-out-1,05:00:00,07:00:00,600,0
metro-out-1,07:00:00,09:00:00,300,0
metro-out-1,09:00:00,17:00:00,600,0
metro-out-1,17:00:00,21:00:00,300,0
metro-out-1,21:00:00,23:00:00,600,0
metro-in-1,05:00:00,07:00:00,600,0
metro-in-1,07:00:00,09:00:00,300,0
metro-in-1,09:00:00,17:00:00,600,0
metro-in-1,17:00:00,21:00:00,300,0
metro-in-1,21:00:00,23:00:00,600,0
tram-east-1,05:00:00,07:00:00,600,0
tram-east-1,07:00:00,09:00:00,300,0
tram-east-1,09:00:00,17:00:00,600,0
tram-east-1,17:00:00,21:00:00,300,0
tram-east-1,21:00:00,23:00:00,600,0
tram-west-1,05:00:00,07:00:00,600,0
tram-west-1,07:00:00,09:00:00,300,0
tram-west-1,09:00:00,17:00:00,600,0
tram-west-1,17:00:00,21:00:00,300,0
tram-west-1,21:00:00,23:00:00,600,0
ETUSA-3-dir0,06:00:00,06:30:00,2400,0
ETUSA-3-dir0,06:30:00,09:30:00,1200,0
ETUSA-3-dir0,09:30:00,16:00:00,2400,0
ETUSA-3-dir0,16:00:00,19:00:00,1200,0
ETUSA-3-dir0,19:00:00,19:20:00,2400,0
ETUSA-3-dir1,06:00:00,06:30:00,2400,0
ETUSA-3-dir1,06:30:00,09:30:00,1200,0
ETUSA-3-dir1,09:30:00,16:00:00,2400,0
ETUSA-3-dir1,16:00:00,19:00:00,1200,0
ETUSA-3-dir1,19:00:00,19:20:00,2400,0
ETUSA-6-dir0,05:40:00,06:30:00,2400,0
ETUSA-6-dir0,06:30:00,09:30:00,1200,0
ETUSA-6-dir0,09:30:00,16:00:00,2400,0
ETUSA-6-dir0,16:00:00,19:00:00,1200,0
ETUSA-6-dir0,19:00:00,23:50:00,2400,0
ETUSA-6-dir1,05:40:00,06:30:00,2400,0
ETUSA-6-dir1,06:30:00,09:30:00,1200,0
ETUSA-6-dir1,09:30:00,16:00:00,2400,0
ETUSA-6-dir1,16:00:00,19:00:00,1200,0
ETUSA-6-dir1,19:00:00,23:50:00,2400,0
ETUSA-10-dir0,05:35:00,06:30:00,2400,0
ETUSA-10-dir0,06:30:00,09:30:00,1200,0
ETUSA-10-dir0,09:30:00,16:00:00,2400,0
ETUSA-10-dir0,16:00:00,19:00:00,1200,0
ETUSA-10-dir0,19:00:00,19:20:00,2400,0
ETUSA-10-dir1,05:35:00,06:30:00,2400,0
ETUSA-10-dir1,06:30:00,09:30:00,1200,0
ETUSA-10-dir1,09:30:00,16:00:00,2400,0
ETUSA-10-dir1,16:00:00,19:00:00,1200,0
ETUSA-10-dir1,19:00:00,19:20:00,2400,0
ETUSA-12-dir0,06:15:00,06:30:00,600,0
ETUSA-12-dir0,06:30:00,09:30:00,600,0
ETUSA-12-dir0,09:30:00,16:00:00,600,0
ETUSA-12-dir0,16:00:00,19:00:00,600,0
ETUSA-12-dir0,19:00:00,23:30:00,600,0
ETUSA-12-dir1,06:15:00,06:30:00,600,0
ETUSA-12-dir1,06:30:00,09:30:00,600,0
ETUSA-12-dir1,09:30:00,16:00:00,600,0
ETUSA-12-dir1,16:00:00,19:00:00,600,0
ETUSA-12-dir1,19:00:00,23:30:00,600,0
ETUSA-14-dir0,05:40:00,06:30:00,2400,0
ETUSA-14-dir0,06:30:00,09:30:00,1200,0
ETUSA-14-dir0,09:30:00,16:00:00,2400,0
ETUSA-14-dir0,16:00:00,19:00:00,1200,0
ETUSA-14-dir1,05:40:00,06:30:00,2400,0
ETUSA-14-dir1,06:30:00,09:30:00,1200,0
ETUSA-14-dir1,09:30:00,16:00:00,2400,0
ETUSA-14-dir1,16:00:00,19:00:00,1200,0
ETUSA-15-dir0,05:40:00,06:30:00,2400,0
ETUSA-15-dir0,06:30:00,09:30:00,1200,0
ETUSA-15-dir0,09:30:00,16:00:00,2400,0
ETUSA-15-dir0,16:00:00,19:00:00,1200,0
ETUSA-15-dir0,19:00:00,19:40:00,2400,0
ETUSA-15-dir1,05:40:00,06:30:00,2400,0
ETUSA-15-dir1,06:30:00,09:30:00,1200,0
ETUSA-15-dir1,09:30:00,16:00:00,2400,0
ETUSA-15-dir1,16:00:00,19:00:00,1200,0
ETUSA-15-dir1,19:00:00,19:40:00,2400,0
ETUSA-16-dir0,05:50:00,06:30:00,2400,0
ETUSA-16-dir0,06:30:00,09:30:00,1200,0
ETUSA-16-dir0,09:30:00,16:00:00,2400,0
ETUSA-16-dir0,16:00:00,19:00:00,1200,0
ETUSA-16-dir0,19:00:00,19:30:00,2400,0
ETUSA-16-dir1,05:50:00,06:30:00,2400,0
ETUSA-16-dir1,06:30:00,09:30:00,1200,0
ETUSA-16-dir1,09:30:00,16:00:00,2400,0
ETUSA-16-dir1,16:00:00,19:00:00,1200,0
ETUSA-16-dir1,19:00:00,19:30:00,2400,0
ETUSA-18-dir0,05:50:00,06:30:00,2400,0
ETUSA-18-dir0,06:30:00,09:30:00,1200,0
ETUSA-18-dir0,09:30:00,16:00:00,2400,0
ETUSA-18-dir0,16:00:00,19:00:00,1200,0
ETUSA-18-dir0,19:00:00,24:20:00,2400,0
ETUSA-19-dir0,05:50:00,06:30:00,2400,0
ETUSA-19-dir0,06:30:00,09:30:00,1200,0
ETUSA-19-dir0,09:30:00,16:00:00,2400,0
ETUSA-19-dir0,16:00:00,18:25:00,1200,0
ETUSA-19-dir1,05:50:00,06:30:00,2400,0
ETUSA-19-dir1,06:30:00,09:30:00,1200,0
ETUSA-19-dir1,09:30:00,16:00:00,2400,0
ETUSA-19-dir1,16:00:00,18:25:00,1200,0
ETUSA-21-dir0,06:30:00,09:30:00,1200,0
ETUSA-21-dir0,09:30:00,16:00:00,2400,0
ETUSA-21-dir0,16:00:00,18:20:00,1200,0
ETUSA-21-dir1,06:30:00,09:30:00,1200,0
ETUSA-21-dir1,09:30:00,16:00:00,2400,0
ETUSA-21-dir1,16:00:00,18:20:00,1200,0
ETUSA-27-dir0,05:50:00,06:30:00,2400,0
ETUSA-27-dir0,06:30:00,09:30:00,1200,0
ETUSA-27-dir0,09:30:00,16:00:00,2400,0
ETUSA-27-dir0,16:00:00,19:00:00,1200,0
ETUSA-27-dir0,19:00:00,19:10:00,2400,0
ETUSA-27-dir1,05:50:00,06:30:00,2400,0
ETUSA-27-dir1,06:30:00,09:30:00,1200,0
ETUSA-27-dir1,09:30:00,16:00:00,2400,0
ETUSA-27-dir1,16:00:00,19:00:00,1200,0
ETUSA-27-dir1,19:00:00,19:10:00,2400,0
ETUSA-31-dir0,05:50:00,06:30:00,2400,0
ETUSA-31-dir0,06:30:00,09:30:00,1200,0
ETUSA-31-dir0,09:30:00,16:00:00,2400,0
ETUSA-31-dir0,16:00:00,19:00:00,1200,0
ETUSA-31-dir0,19:00:00,24:00:00,2400,0
ETUSA-31-dir1,05:50:00,06:30:00,2400,0
ETUSA-31-dir1,06:30:00,09:30:00,1200,0
ETUSA-31-dir1,09:30:00,16:00:00,2400,0
ETUSA-31-dir1,16:00:00,19:00:00,1200,0
ETUSA-31-dir1,19:00:00,24:00:00,2400,0
ETUSA-34-dir0,06:00:00,06:30:00,2400,0
ETUSA-34-dir0,06:30:00,09:30:00,1200,0
ETUSA-34-dir0,09:30:00,16:00:00,2400,0
ETUSA-34-dir0,16:00:00,19:00:00,1200,0
ETUSA-34-dir0,19:00:00,19:10:00,2400,0
ETUSA-34-dir1,06:00:00,06:30:00,2400,0
ETUSA-34-dir1,06:30:00,09:30:00,1200,0
ETUSA-34-dir1,09:30:00,16:00:00,2400,0
ETUSA-34-dir1,16:00:00,19:00:00,1200,0
ETUSA-34-dir1,19:00:00,19:10:00,2400,0
ETUSA-37-dir0,06:00:00,06:30:00,2400,0
ETUSA-37-dir0,06:30:00,09:30:00,1200,0
ETUSA-37-dir0,09:30:00,16:00:00,2400,0
ETUSA-37-dir0,16:00:00,18:40:00,1200,0
ETUSA-45-dir0,05:50:00,06:30:00,2400,0
ETUSA-45-dir0,06:30:00,09:30:00,1200,0
ETUSA-45-dir0,09:30:00,16:00:00,2400,0
ETUSA-45-dir0,16:00:00,19:00:00,1200,0
ETUSA-45-dir0,19:00:00,24:00:00,2400,0
ETUSA-45-dir1,05:50:00,06:30:00,2400,0
ETUSA-45-dir1,06:30:00,09:30:00,1200,0
ETUSA-45-dir1,09:30:00,16:00:00,2400,0
ETUSA-45-dir1,16:00:00,19:00:00,1200,0
ETUSA-45-dir1,19:00:00,24:00:00,2400,0
ETUSA-50-dir0,05:50:00,06:30:00,2400,0
ETUSA-50-dir0,06:30:00,09:30:00,1200,0
ETUSA-50-dir0,09:30:00,16:00:00,2400,0
ETUSA-50-dir0,16:00:00,18:30:00,1200,0
ETUSA-50-dir1,05:50:00,06:30:00,2400,0
ETUSA-50-dir1,06:30:00,09:30:00,1200,0
ETUSA-50-dir1,09:30:00,16:00:00,2400,0
ETUSA-50-dir1,16:00:00,18:30:00,1200,0
ETUSA-54-dir0,05:45:00,06:30:00,2400,0
ETUSA-54-dir0,06:30:00,09:30:00,1200,0
ETUSA-54-dir0,09:30:00,16:00:00,2400,0
ETUSA-54-dir0,16:00:00,19:00:00,1200,0
ETUSA-54-dir0,19:00:00,19:25:00,2400,0
ETUSA-54-dir1,05:45:00,06:30:00,2400,0
