route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc
L1-metro,metro-alger,M1,Métro Ligne 1,1,1E3A8A,FFFFFF,Tafourah Grande Poste ↔ Harrach Centre
L1-tram,tram-alger,T1,Tramway Ligne 1,0,059669,FFFFFF,Ruisseau-Les Annassers ↔ Dergana Centre
ETUSA-3,etusa,3,Bus 3 Chevalley ↔ Souidania/Bouchaoui,3,D97706,FFFFFF,"ETUSA — 30 DA, 06:00–19:20 (source 2024)"
ETUSA-6,etusa,6,Bus 6 Place des Martyrs ↔ Station kouba/Place 1er Mai,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:40–23:50 (source 2024)"
ETUSA-10,etusa,10,Bus 10 Place 1er mai ↔ Bouzareah Chevalley,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:35–19:20 (source 2024)"
ETUSA-12,etusa,12,Bus 12 Place des Martyrs ↔ Staouali,3,D97706,FFFFFF,"ETUSA — 40 DA, 06:15–23:30 (source 2024)"
ETUSA-14,etusa,14,Bus 14 Place 1er mai ↔ Station kouba/Bir mourad Rais,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:40–19:00 (source 2024)"
ETUSA-15,etusa,15,Bus 15 place 1er mai ↔ Grande Poste,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:40–19:40 (source 2024)"
ETUSA-16,etusa,16,Bus 16 Place 1er mai ↔ EL Madania,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–19:30 (source 2024)"
ETUSA-18,etusa,18,Bus 18 Bachdjarah ↔ Hopital Militaire/ H.Badr,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–00:20 (source 2024)"
ETUSA-19,etusa,19,Bus 19 Place Aissat idir ↔ Bab Zzouar,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:50–18:25 (source 2024)"
ETUSA-21,etusa,21,Bus 21 Bouzareh ↔ Sidi Youcef,3,D97706,FFFFFF,"ETUSA — 20 DA, 06:30–18:20 (source 2024)"
ETUSA-27,etusa,27,Bus 27 Place 1er mai ↔ Station Kouba/el Afia et Garidi,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–19:10 (source 2024)"
ETUSA-31,etusa,31,Bus 31 Place Audin ↔ Hydra,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–00:00 (source 2024)"
ETUSA-34,etusa,34,Bus 34 Place 1er mai ↔ Bir Khadem,3,D97706,FFFFFF,"ETUSA — 30 DA, 06:00–19:10 (source 2024)"
ETUSA-37,etusa,37,Bus 37 Grande Poste ↔ Oued Koriche,3,D97706,FFFFFF,"ETUSA — 20 DA, 06:00–18:40 (source 2024)"
ETUSA-45,etusa,45,Bus 45 Place des Martyrs ↔ Bouzaréah,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:50–00:00 (source 2024)"
ETUSA-50,etusa,50,Bus 50 Ben aknoun ↔ Place des Martyrs,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:50–18:30 (source 2024)"
ETUSA-54,etusa,54,Bus 54 Place Audin ↔ El Mouradia,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:45–19:25 (source 2024)"
ETUSA-58,etusa,58,Bus 58 Place des Martyrs ↔ Chevalley,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–20:00 (source 2024)"
ETUSA-66,etusa,66,Bus 66 Bachdjarah ↔ Place Aissat Idir,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:45–19:15 (source 2024)"
ETUSA-72,etusa,72,Bus 72 Rouiba ↔ Place des martyrs,3,D97706,FFFFFF,"ETUSA — 40 DA, 06:00–23:50 (source 2024)"
ETUSA-74,etusa,74,Bus 74 Bachdjarah ↔ Place des Martyrs,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:45–18:00 (source 2024)"
ETUSA-82,etusa,82,Bus 82 El Harrach ↔ Station Kouba/Ain Naadja,3,D97706,FFFFFF,"ETUSA — 30 DA, 06:00–18:30 (source 2024)"
ETUSA-88,etusa,88,Bus 88 Place 1er mai ↔ Hydra,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–19:30 (source 2024)"
ETUSA-90,etusa,90,Bus 90 Place 1er mai ↔ Basta Ali,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–20:00 (source 2024)"
ETUSA-98,etusa,98,Bus 98 Bab Ezzouar ↔ Place Ferhani,3,D97706,FFFFFF,"ETUSA — 40 DA, 06:10–18:15 (source 2024)"
ETUSA-99,etusa,99,Bus 99 Place 1er mai ↔ Ain Benian,3,D97706,FFFFFF,"ETUSA — 40 DA, 06:00–18:40 (source 2024)"
ETUSA-100,etusa,100,Bus 100 Place des martyrs ↔ Aéroport d'Alger,3,D97706,FFFFFF,"ETUSA — 50 DA, 05:45–00:00 (source 2024)"
ETUSA-101,etusa,101,Bus 101 Place Des Martyrs ↔ Birtouta,3,D97706,FFFFFF,"ETUSA — 40 DA, 06:10–23:30 (source 2024)"
ETUSA-105,etusa,105,Bus 105 Bachdjarah ↔ Baraki,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:25–19:20 (source 2024)"
ETUSA-113,etusa,113,Bus 113 Gare routiére ↔ Place des Martyrs,3,D97706,FFFFFF,"ETUSA — 20 DA, 04:45–00:10 (source 2024)"
ETUSA-178,etusa,178,Bus 178 Gare Routiére ↔ Aéroport D'alger,3,D97706,FFFFFF,"ETUSA — 50 DA, 05:45–00:10 (source 2024)"
ETUSA-604,etusa,604,Bus 604 Dergana ↔ El Kerrouche /Reghaia,3,D97706,FFFFFF,"ETUSA — 30 DA, 05:50–19:40 (source 2024)"
ETUSA-606,etusa,606,Bus 606 Dergana ↔ Ain Taya/Borj el bahri,3,D97706,FFFFFF,"ETUSA — 20 DA, 05:50–19:00 (source 2024)"
ETUSA-643,etusa,643,Bus 643 Baraki ↔ El Harrach/Hopital Zmirli,3,D97706,FFFFFF,"ETUSA — 30 DA, 06:20–18:00 (source 2024)"
ETUSA-701,etusa,701,Bus 701 Zéralda G.R ↔ Chevalley,3,D97706,FFFFFF,"ETUSA — 40 DA, 05:50–18:50 (source 2024)"
ETUSA-707,etusa,707,Bus 707 Chevalley ↔ Ain Benian/Plateau,3,D97706,FFFFFF,"ETUSA — 30 DA, 06:10–18:40 (source 2024)"
ETUSA-731,etusa,731,Bus 731 Sidi Abd Allah ↔ Chevalley,3,D97706,FFFFFF,"ETUSA — 40 DA, 05:50–18:50 (source 2024)"
ETUSA-732,etusa,732,Bus 732 Sidi Abd Allah ↔ Station 2 Mai,3,D97706,FFFFFF,"ETUSA — 50 DA, 05:50–18:20 (source 2024)"
