trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
metro-out-1,05:00:00,05:00:00,M01,1,,0,0,,1
metro-out-1,05:02:00,05:02:00,M02,2,,0,0,,1
metro-out-1,05:04:00,05:04:00,M03,3,,0,0,,1
metro-out-1,05:06:00,05:06:00,M04,4,,0,0,,1
metro-out-1,05:08:00,05:08:00,M05,5,,0,0,,1
metro-out-1,05:10:00,05:10:00,M06,6,,0,0,,1
metro-out-1,05:12:00,05:12:00,M07,7,,0,0,,1
metro-out-1,05:14:00,05:14:00,M08,8,,0,0,,1
metro-out-1,05:16:00,05:16:00,M09,9,,0,0,,1
metro-out-1,05:18:00,05:18:00,M10,10,,0,0,,1
metro-out-1,05:20:00,05:20:00,M11,11,,0,0,,1
metro-out-1,05:22:00,05:22:00,M12,12,,0,0,,1
metro-out-1,05:24:00,05:24:00,M13,13,,0,0,,1
metro-out-1,05:26:00,05:26:00,M14,14,,0,0,,1
metro-out-1,05:28:00,05:28:00,M15,15,,0,0,,1
metro-out-1,05:32:00,05:32:00,M16,16,,0,0,,1
metro-in-1,05:00:00,05:00:00,M16,1,,0,0,,1
metro-in-1,05:04:00,05:04:00,M15,2,,0,0,,1
metro-in-1,05:06:00,05:06:00,M14,3,,0,0,,1
metro-in-1,05:08:00,05:08:00,M13,4,,0,0,,1
metro-in-1,05:10:00,05:10:00,M12,5,,0,0,,1
metro-in-1,05:12:00,05:12:00,M11,6,,0,0,,1
metro-in-1,05:14:00,05:14:00,M10,7,,0,0,,1
metro-in-1,05:16:00,05:16:00,M09,8,,0,0,,1
metro-in-1,05:18:00,05:18:00,M08,9,,0,0,,1
metro-in-1,05:20:00,05:20:00,M07,10,,0,0,,1
metro-in-1,05:22:00,05:22:00,M06,11,,0,0,,1
metro-in-1,05:24:00,05:24:00,M05,12,,0,0,,1
metro-in-1,05:26:00,05:26:00,M04,13,,0,0,,1
metro-in-1,05:28:00,05:28:00,M03,14,,0,0,,1
