stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding
M01,Tafourah Grande Poste,36.77201,3.05807,Métro L1,0,,1
M02,Khelifa Boukhalfa,36.76625,3.05367,Métro L1,0,,1
M03,1er Mai,36.76020,3.05661,Métro L1,0,,1
M04,Aïssat Idir,36.75686,3.06176,Métro L1,0,,1
M05,Hamma,36.75291,3.06653,Métro L1,0,,1
M06,Jardin d'Essai,36.74668,3.07274,Métro L1,0,,1
M07,Les Fusillés,36.74232,3.08214,Métro L1,0,,1
M08,Cité Amirouche,36.73796,3.09154,Métro L1,0,,1
M09,Cité Mer et Soleil,36.73359,3.10095,Métro L1,0,,1
M10,Mohamed Belouizdad,36.73087,3.10139,Métro L1,0,,1
M11,El Magharia,36.72815,3.10183,Métro L1,0,,1
M12,Haï El Badr,36.72543,3.10227,Métro L1,0,,1
M13,Bachdjarah Tennis,36.72432,3.11209,Métro L1,0,,1
M14,Bachdjarah,36.72321,3.12191,Métro L1,0,,1
M15,El Harrach Gare,36.72209,3.13173,Métro L1,0,,1
M16,Harrach Centre,36.72200,3.13716,Métro L1,0,,1
T01,Ruisseau,36.74289,3.08349,Tramway L1,0,,1
T02,Les Fusillés (Tram),36.74599,3.08681,Tramway L1,0,,1
T03,Tripoli - Thaâlibia,36.74522,3.09229,Tramway L1,0,,1
T04,Tripoli - Mosquée,36.74326,3.09741,Tramway L1,0,,1
T05,Tripoli - Hamadèche,36.74072,3.10409,Tramway L1,0,,1
T06,Tripoli - Makaria,36.73703,3.11368,Tramway L1,0,,1
T07,Caroubier,36.73571,3.11818,Tramway L1,0,,1
T08,La Glacière,36.73282,3.12463,Tramway L1,0,,1
T09,Pont El Harrach,36.73028,3.13016,Tramway L1,0,,1
T10,Bekri Bouguerra,36.72781,3.14344,Tramway L1,0,,1
T11,Cinq Maisons,36.72588,3.15080,Tramway L1,0,,1
T12,Foire d'Alger,36.73127,3.16137,Tramway L1,0,,1
T13,Les Pins,36.73220,3.16703,Tramway L1,0,,1
T14,Tamaris,36.73255,3.17329,Tramway L1,0,,1
T15,Cité 5 Juillet,36.72153,3.18282,Tramway L1,0,,1
T16,Bordj El Kiffan - Lycée,36.74533,3.18767,Tramway L1,0,,1
T17,Bordj El Kiffan - Polyclinique,36.74816,3.19708,Tramway L1,0,,1
T18,Ben Mered,36.75899,3.22940,Tramway L1,0,,1
T19,Café Chergui,36.77745,3.25016,Tramway L1,0,,1
T20,Dergana Centre,36.77197,3.26031,Tramway L1,0,,1
M17,Pôle Universitaire,36.71750,3.14620,Métro L1 Extension Est (prévu 2027),0,,0
M18,Université H. Boumediene,36.71150,3.16180,Métro L1 Extension Est (prévu 2027),0,,0
M19,Beaulieu,36.70800,3.17400,Métro L1 Extension Est (prévu 2027),0,,0
M20,Oued Smar,36.70480,3.18520,Métro L1 Extension Est (prévu 2027),0,,0
M21,Hacène Badi,36.70180,3.19420,Métro L1 Extension Est (prévu 2027),0,,0
M22,Rabia Tahar,36.69920,3.20180,Métro L1 Extension Est (prévu 2027),0,,0
M23,Smail Yefsah,36.69650,3.20820,Métro L1 Extension Est (prévu 2027),0,,0
M24,Business District,36.69380,3.21270,Métro L1 Extension Est (prévu 2027),0,,0
M25,Aéroport H. Boumediene,36.69120,3.21540,Métro L1 Extension Est (prévu 2027),0,,0
B960842059,Chevalley,36.769509,3.006913,Bus ETUSA,0,,
B5390507841,Cercle National de l'Armée,36.770110,2.992383,Bus ETUSA,0,,
B5390507839,Cercle National de l'Armée 2,36.769321,2.986157,Bus ETUSA,0,,
B3228186997,Dar Diaf,36.772056,2.965073,Bus ETUSA,0,,
B5390542105,Chéraga-Gare Routière,36.767305,2.951468,Bus ETUSA,0,,
B5390507842,Souk El Fellah,36.765984,2.942448,Bus ETUSA,0,,
B5390507847,El Karia ( les Dunes),36.758472,2.934408,Bus ETUSA,0,,
B5390507848,El Kerma,36.755270,2.931129,Bus ETUSA,0,,
B5390507849,Bouchaoui Cnr,36.745671,2.916788,Bus ETUSA,0,,
B5390507852,Bouchaoui École Mouloud Feraoun,36.743834,2.914346,Bus ETUSA,0,,
B5390507853,Sortie Bouchaoui,36.737470,2.914697,Bus ETUSA,0,,
B5390507856,Hotel le Beau Fayet,36.733083,2.923474,Bus ETUSA,0,,
B5390507858,La Cote Blanche,36.714439,2.907748,Bus ETUSA,0,,
B3670328313,Station Souidania,36.708854,2.910691,Bus ETUSA,0,,
B5390579071,La Cote Blanche,36.714406,2.907907,Bus ETUSA,0,,
B5390579070,Cité Souidani Boudjemaa,36.721489,2.915618,Bus ETUSA,0,,
B3036044495,Hotel le Beau Fayet,36.732406,2.923638,Bus ETUSA,0,,
B5390579069,Sortie Bouchaoui,36.737556,2.914888,Bus ETUSA,0,,
B5390579068,Bouchaoui École Mouloud Feraoun,36.743857,2.914441,Bus ETUSA,0,,
B5390579067,Bouchaoui Cnr,36.745541,2.916878,Bus ETUSA,0,,
B5390579066,El Kerma,36.755136,2.931451,Bus ETUSA,0,,
B5390579065,El Karia ( les Dunes),36.758399,2.934640,Bus ETUSA,0,,
B5390579064,Souk El Fellah,36.765876,2.942598,Bus ETUSA,0,,
B5390579063,Chéraga-Gare Routière,36.767146,2.953761,Bus ETUSA,0,,
B3228177317,Cercle National de l'Armee - 2,36.769080,2.984104,Bus ETUSA,0,,
B3195853156,Cercle National de l'Armée - 2,36.770118,2.993534,Bus ETUSA,0,,
B1166453231,Chevalley,36.768952,3.007494,Bus ETUSA,0,,
B2268895854,Vieux Kouba,36.729619,3.075052,Bus ETUSA,0,,
B4734308833,Frères El Sellami,36.729288,3.079793,Bus ETUSA,0,,
B5394260857,La Croix,36.729914,3.084125,Bus ETUSA,0,,
B967403938,APC Kouba,36.733921,3.086912,Bus ETUSA,0,,
B2860034767,Calvaire,36.737166,3.091534,Bus ETUSA,0,,
B2860034770,Oasis,36.739108,3.088544,Bus ETUSA,0,,
B2804815548,Oued Kniss,36.741138,3.084386,Bus ETUSA,0,,
B3636381721,El Anasser Station Multimodale,36.743029,3.083450,Bus ETUSA,0,,
B3791500957,Hamoud Boualem,36.747976,3.083929,Bus ETUSA,0,,
B3102188280,Jardin d'Essai,36.750875,3.076337,Bus ETUSA,0,,
B3102189266,Les Ateliers,36.752147,3.070608,Bus ETUSA,0,,
B3102188618,Les Halles,36.755109,3.066424,Bus ETUSA,0,,
B3122540287,1er Mai,36.760649,3.057341,Bus ETUSA,0,,
B5394260852,Le Moulin,36.765096,3.056004,Bus ETUSA,0,,
B3212364187,Gare de l'Agha,36.767921,3.056259,Bus ETUSA,0,,
B5387463209,Grande Poste,36.772712,3.060789,Bus ETUSA,0,,
B5387463207,Hôtel Es-Safir,36.777676,3.060400,Bus ETUSA,0,,
B5387463206,Port Saïd,36.780905,3.061868,Bus ETUSA,0,,
B2709436847,Place des Martyrs,36.785688,3.063067,Bus ETUSA,0,,
B3452502395,Port Saïd,36.781028,3.061716,Bus ETUSA,0,,
B5387397608,Hôtel Es-Safir,36.777677,3.060185,Bus ETUSA,0,,
B3780772966,Grande Poste,36.773732,3.059807,Bus ETUSA,0,,
B5394260869,Mauretania,36.767989,3.056181,Bus ETUSA,0,,
B3791500958,Le Moulin,36.765092,3.055919,Bus ETUSA,0,,
B3791500960,1er Mai,36.760356,3.056141,Bus ETUSA,0,,
B3784295295,Musset,36.754942,3.060024,Bus ETUSA,0,,
B2964284740,Place 11 Décembre,36.752146,3.062467,Bus ETUSA,0,,
